,first_page_exposure,stars,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
179826,15.076759259216487,4.0,0.9042,0.5625,4.92,2.44,2,0,0,1,2,1,1,1,1,0,0,0.37585908295966725
188152,195.28946759272367,5.0,0.9877,0.5355000000000001,7.49,4.66,6,0,0,0,8,0,0,0,0,0,0,0.4002339301931036
210165,-3150.89371527778,5.0,0.9648,0.6333333333333333,4.6,4.03,0,3,0,4,5,0,0,0,1,0,1,0.22618178337857722
67654,59.07064814819023,5.0,0.9834,0.5927128427128426,7.58,6.11,2,0,0,2,7,1,0,0,2,2,1,0.41634006164716825
97081,-2587.0445833331905,1.0,-0.7269,0.6154761904761905,10.6,7.3,1,0,0,0,1,1,0,0,0,0,3,0.41912632884197143
99593,671.417719907593,4.0,0.9865,0.6448412698412699,9.75,12.69,3,0,0,7,8,1,2,2,1,1,6,0.5745524201055298
21496,-2433.054942129645,5.0,0.9643,0.7341269841269841,6.21,2.84,0,0,1,0,4,0,0,0,1,0,0,0.2569273689763387
221459,100.18708333326504,3.0,0.9815,0.5368886230728336,6.88,26.03,6,0,1,2,13,4,5,3,1,5,14,0.7833460632078879
12826,14.09225694462657,2.0,0.0783,0.4,6.97,4.48,3,0,0,1,0,0,0,0,0,2,3,0.4403117932702396
101748,477.056400462985,2.0,-0.0258,0.4765056022408963,9.9,11.34,4,0,0,0,1,1,1,2,0,3,5,0.6104749631588001
66393,266.47876157425344,5.0,0.9834,0.7322222222222222,4.94,4.27,3,1,0,1,6,2,0,1,0,0,1,0.4269117120442839
249477,1493.4961458332837,5.0,0.9961,0.548328911232137,9.24,17.22,7,1,2,4,17,5,2,1,4,3,7,0.7265099734491733
84191,328.9494560183957,1.0,-0.7579,0.8,8.01,3.36,2,0,0,0,2,1,0,0,0,0,1,0.49087754308590503
247706,15.045949073974043,2.0,0.955,0.4819437763882208,9.98,16.36,4,0,2,11,10,0,1,0,0,3,14,0.6299427592482947
100918,155.7051620366983,4.0,0.9787,0.5595238095238095,10.35,7.35,3,0,0,1,7,2,1,1,2,0,5,0.45617974961918406
262359,71.27164351893589,1.0,0.3612,0.6,4.27,3.07,1,0,0,0,0,0,1,0,0,4,0,0.44032003617990423
107314,16.738819444552064,5.0,0.9945,0.5491935483870969,5.46,13.4,3,0,1,1,16,4,0,1,2,1,5,0.6576325208876144
46575,189.50923611084,1.0,-0.9536,0.6292929292929293,7.23,7.59,5,0,0,0,0,1,0,1,4,2,1,0.5165972379536098
98897,55.71195601858199,5.0,0.9823,0.4730237154150198,6.77,9.06,6,1,1,0,7,3,0,1,1,0,5,0.5142459720395568
133837,198.8636689814739,5.0,0.9843,0.5228571428571429,6.97,4.67,1,0,0,0,4,0,0,1,0,3,0,0.4225805502095728
209019,46.07123842602596,5.0,0.9674,0.6761111111111111,7.28,3.69,3,0,0,0,2,1,0,0,0,0,0,0.37655530933383224
76866,66.89387731486931,3.0,0.9836,0.5665857331074722,6.52,9.7,5,1,1,3,10,0,0,1,2,3,8,0.48686579405211167
124561,287.1411921293475,1.0,-0.9604,0.575857546408394,10.86,29.88,11,0,0,1,15,5,1,1,5,2,3,0.9050904320492106
247953,55.91739583341405,1.0,-0.129,0.51003432003432,8.44,16.28,7,1,1,3,10,0,1,0,3,4,19,0.5307866752264901
203671,-2062.839930555783,5.0,-0.508,0.414935064935065,6.62,4.42,3,0,0,0,2,1,1,0,0,0,0,0.29639915946788276
159285,362.0096759260632,2.0,0.7805,0.5208333333333333,8.62,10.4,2,0,0,1,2,0,2,0,5,1,3,0.5042362510383714
212151,81.12094907416031,2.0,0.926,0.5004910887723387,8.58,11.19,3,0,0,0,6,2,3,1,2,4,4,0.5548810859272546
33641,994.7747453702614,3.0,0.9525,0.6825,6.47,7.84,1,0,1,0,6,1,0,2,5,1,5,0.5399456454852197
