,first_page_exposure,stars,polarity,subjectivity,GunningFog,ReadingTime,activity_group,ease_group,feeling_group,food_group,judgement_group,location_group,misc_group,price_group,service_group,time_group,venue_group,helpfulness_prob
188993,99.96822916669772,1.0,-0.6786,0.6,5.44,4.52,1,0,0,0,0,1,0,0,0,1,3,0.4994750409681573
193583,71.73328703688458,5.0,0.9702,0.86,6.55,3.75,1,0,0,0,2,0,0,0,3,1,5,0.28210154163800655
46334,-1718.436805555597,1.0,0.9627,0.4430026455026454,5.95,24.78,12,0,1,2,10,1,1,1,3,9,0,0.7583335710353215
38555,78.82592592621222,5.0,0.9628,0.6933333333333332,8.12,3.6,2,1,1,2,2,1,0,0,3,0,2,0.3438280620631451
19791,-2776.558101851959,5.0,0.9809,0.5854938271604939,8.21,10.81,1,0,0,0,7,3,0,0,2,1,0,0.4251100693295741
77902,227.3501273151487,5.0,0.9022,0.2977777777777778,5.38,2.85,1,0,0,0,1,0,0,0,0,0,0,0.39750933308934167
260250,334.1586574073881,1.0,0.5318,0.4251082251082251,8.77,16.56,5,1,0,0,9,0,3,0,4,6,1,0.6647961082719384
241773,424.8902314812876,1.0,-0.4767,0.6,5.63,7.29,4,0,0,0,2,0,1,0,0,1,1,0.5501675638099841
161888,742.8837615740485,5.0,0.8999,0.3789090909090909,9.29,2.48,2,0,0,0,3,0,0,0,0,0,0,0.40704090893768885
109962,430.9106250000186,4.0,0.9738,0.6615384615384615,6.58,3.89,1,0,1,1,4,0,1,3,0,1,6,0.4145184760444329
22107,-1300.1401851852424,5.0,0.968,0.346191829004329,7.4,9.48,1,4,1,0,6,1,3,0,1,1,2,0.4144490890867623
19216,-2451.9655324076302,5.0,0.9771,0.6115800865800867,6.52,4.73,3,0,0,0,6,2,1,0,0,2,0,0.28189744246898246
141800,-2051.096249999944,5.0,0.9784,0.5709573412698413,6.97,4.99,1,0,1,1,8,0,0,0,0,1,0,0.33880879629892546
37048,-1481.879988425877,1.0,-0.6962,0.5297619047619048,11.64,5.86,0,0,0,0,1,0,0,1,0,1,4,0.4428661445388091
261583,28.100960648152977,2.0,0.7932,0.5859920634920635,12.17,24.71,6,0,1,0,3,0,4,1,4,1,7,0.7348091311742307
97532,148.09432870382443,1.0,-0.9654,0.5407407407407406,8.98,14.66,3,0,0,2,1,3,0,1,0,0,0,0.7745835742890734
232444,963.5024189813994,5.0,0.9657,0.616969696969697,7.9,6.16,5,1,0,0,3,0,1,0,0,2,0,0.4280066580937801
132984,211.1879398147576,1.0,0.308,0.3285714285714286,9.74,7.2,1,0,0,0,1,1,4,1,1,1,8,0.46927924264915577
123813,607.9688541665673,1.0,-0.8891,0.6166666666666667,6.68,6.93,7,5,1,0,0,0,1,1,0,1,0,0.5519410027264876
38439,410.7141782403924,4.0,0.902,0.55,10.53,2.38,1,0,0,0,2,0,0,0,0,0,3,0.37515768682839523
253606,32.77371527813375,1.0,0.9506,0.5369565217391304,5.96,13.21,4,1,0,3,6,1,4,1,3,2,11,0.5079028816468252
166370,4.239606481511146,5.0,0.9022,0.5542207792207792,9.1,8.96,6,2,0,2,5,1,2,0,0,5,2,0.4017623774869149
21363,156.2731712963432,4.0,0.9349,0.442063492063492,7.0,3.98,0,0,0,0,5,2,1,0,1,1,6,0.3944129614732123
165489,552.8103240737692,2.0,0.128,0.2272727272727272,9.33,3.89,1,0,0,0,3,1,0,0,1,0,1,0.5331654245579135
21049,-2049.301018518396,1.0,-0.8689,0.4742063492063492,7.78,7.05,2,0,0,1,5,0,0,0,1,1,1,0.4484707119941992
7329,70.0648958333768,5.0,0.8874,0.4785353535353535,7.0,2.79,2,0,0,1,3,0,0,0,0,1,0,0.36467635030849843
62783,340.1656018518843,3.0,0.9485,0.499898333989243,9.97,16.7,5,0,0,5,8,2,4,0,2,1,10,0.5800995530988948
74971,234.44215277768672,3.0,0.9943,0.5845445334807038,9.46,23.65,7,3,1,3,16,3,4,4,4,4,9,0.7635694993997119
137013,328.547893518582,3.0,0.7425,0.6989583333333333,14.41,1.95,1,0,0,0,1,1,0,0,0,0,0,0.4150598987056844
163385,9.788622685242444,5.0,0.8225,0.5866666666666667,8.04,3.63,1,0,0,1,0,1,0,0,0,4,0,0.36692381993019557
10869,313.83259259257466,4.0,0.8622,0.5854208754208754,8.72,9.72,1,0,0,2,7,3,0,1,2,1,5,0.562253251737603
51235,-1938.6112500000745,4.0,0.9818,0.4649999999999999,6.59,19.85,7,0,3,1,3,2,0,1,1,5,4,0.6643801219850438
111063,161.23319444432855,4.0,-0.2023,0.5015478312537136,6.87,13.24,6,4,0,0,5,5,3,1,1,5,2,0.5914101665319333
248874,576.0869212965481,2.0,-0.4993,0.4997474747474747,10.45,6.05,1,0,0,0,6,1,0,1,0,0,3,0.5776867938993293
136930,433.8727083331905,3.0,0.9437,0.5422222222222222,6.42,9.27,2,0,0,1,8,2,0,0,3,0,8,0.5235562540544287
24628,66.46982638910413,5.0,0.9259,0.5464814814814815,15.95,4.72,1,0,0,2,5,0,1,1,1,0,5,0.35118301372797495
241037,1182.174513889011,2.0,0.9552,0.5449632883456413,8.71,15.23,3,1,1,4,9,3,0,2,0,4,7,0.7761626792747338
140956,416.09390046307817,4.0,0.9545,0.5981150793650792,7.33,8.01,5,0,0,1,5,1,1,2,0,2,1,0.5115725071725088
36838,208.74207175942135,1.0,-0.7964,0.9333333333333332,4.07,1.41,0,0,0,0,1,0,0,0,0,0,0,0.43565529261532476
235046,-2915.140347222332,5.0,0.9243,0.5316287878787879,8.68,6.05,4,1,1,0,3,1,2,0,0,1,0,0.26798484107088366
31673,82.08646990731359,5.0,0.9951,0.5305555555555557,7.59,6.13,3,0,0,0,9,0,0,0,0,1,1,0.4394906871558723
211882,388.9246180555783,5.0,0.9659,0.6325757575757576,12.93,11.34,0,0,1,0,4,0,1,2,1,1,3,0.5671680693514123
194925,34.22534722229466,1.0,-0.383,0.3166666666666666,7.49,5.38,3,0,0,3,2,1,1,0,1,0,3,0.5022683279590499
227352,520.9963310188614,2.0,-0.8225,0.5158008658008658,5.94,11.05,2,0,0,0,1,0,4,1,0,0,0,0.6083056590721078
183869,-2068.79557870375,1.0,0.3612,0.4188235294117647,7.5,13.66,5,2,0,2,2,0,2,0,1,1,14,0.3975965395381501
136331,60.686296296305954,1.0,-0.7208,0.725925925925926,7.34,7.01,0,0,1,0,1,0,2,2,8,1,2,0.4570806601614534
7218,-1517.1345486110076,5.0,0.9325,0.5291666666666667,12.71,3.44,3,0,0,0,1,1,1,0,0,1,1,0.2716924683321789
59919,909.091400463134,5.0,0.9022,0.3166666666666667,4.92,3.28,1,0,0,0,3,0,0,0,2,0,3,0.39619844502726803
157985,252.2991782408208,5.0,0.9186,0.4027777777777778,7.72,4.89,2,0,1,0,3,1,1,1,3,1,1,0.4130039225357135
234375,33.26327546266839,5.0,0.9657,0.5634057971014492,7.23,11.94,2,1,1,2,4,2,0,0,1,2,4,0.5599190251302006
127703,448.33564814785495,1.0,-0.7347,0.65,6.32,4.85,2,0,0,0,1,4,1,1,1,1,0,0.5778310746157069
221995,-2080.3858796297573,5.0,-0.4939,0.10625,5.74,2.73,3,0,0,0,0,0,0,0,2,1,0,0.2570112329945642
229922,-2635.6951157408766,5.0,0.9501,0.5499999999999999,6.78,3.86,1,0,0,0,6,1,0,0,1,0,3,0.25145253863783956
38941,115.72430555522442,1.0,-0.9335,0.4925925925925926,4.18,4.29,1,0,0,0,1,0,0,0,0,1,4,0.48368612117619114
61191,1036.9457291662693,3.0,0.34,0.5095238095238095,6.22,4.23,2,0,0,0,1,1,0,0,0,1,3,0.4869099401731904
126374,635.3300000000745,1.0,0.2709,0.5571428571428572,8.96,8.78,1,1,0,0,3,0,5,1,2,1,0,0.5470987200164416
143822,106.39740740740672,1.0,0.7003,0.5,4.53,2.12,2,1,0,0,1,0,0,0,3,1,0,0.41776216022369084
80908,900.3541319444776,5.0,0.9248,0.588095238095238,6.98,7.64,2,1,0,0,5,1,0,0,1,0,3,0.4958420144346628
250959,488.60553240729496,4.0,0.9453,0.5608906525573193,8.73,17.39,0,1,0,1,9,1,1,0,0,4,3,0.7166583726616899
67046,324.9020717591048,5.0,0.8779,0.4761363636363636,9.84,2.1,2,0,0,0,3,0,0,0,0,0,0,0.36787389841204493
235214,91.07436342583968,1.0,-0.9174,0.5088293650793652,9.88,9.77,1,0,0,0,2,2,1,2,1,5,0,0.6484281520766075
257827,-2732.9462962960824,1.0,-0.4939,0.5375,5.17,2.51,0,0,0,0,1,0,0,0,0,0,2,0.31862979093885657
42627,659.5223958333954,5.0,0.7584,0.5166666666666667,7.13,4.6,1,0,0,0,2,0,3,0,0,3,1,0.36738891998532414
26898,9.141377314459532,5.0,0.9307,0.5099547511312217,7.82,9.05,2,0,1,1,3,0,0,1,0,1,2,0.5144106002499361
48570,368.3611458335072,5.0,0.836,0.5,4.95,2.79,0,0,1,1,0,0,0,0,2,3,1,0.36100664048827935
167067,8.696030092425644,5.0,0.9863,0.5572751322751324,10.62,11.83,1,0,0,0,6,0,0,0,4,2,4,0.4816554863269014
127541,98.13714120350778,1.0,-0.8402,0.4605555555555555,6.12,7.14,3,0,0,2,4,1,1,1,0,0,3,0.5696674380345856
50055,226.5709490738809,1.0,0.8858,0.4543253968253967,9.25,15.7,3,1,0,0,2,0,4,0,6,1,3,0.595255790498926
31657,15.518391204066576,3.0,0.4588,0.7,7.13,2.7,0,1,0,0,2,1,0,0,0,0,1,0.4194394212268369
145721,18.167986110784117,5.0,0.9468,0.6902469135802469,6.97,4.17,1,0,0,0,5,6,0,0,0,2,0,0.4800216533900708
58408,486.0487268515863,4.0,0.8519,0.66875,9.48,6.14,3,0,0,0,1,0,0,4,0,2,0,0.503861604708584
194544,192.0564814810641,5.0,0.9963,0.5391336837765408,9.3,20.23,7,0,0,5,17,2,0,0,5,4,8,0.6414861514792246
217524,894.2586805555038,4.0,0.9686,0.6145555555555556,7.2,6.46,3,0,1,0,3,4,1,0,0,1,0,0.5711062321133901
70768,53.36395833315328,5.0,0.7304,0.5,18.68,2.86,0,1,0,0,0,0,0,0,1,0,0,0.35417658379054207
95070,173.25449074059725,2.0,0.0612,0.6333333333333334,6.65,7.07,3,0,0,2,5,1,2,1,0,2,2,0.5091814310719649
104623,147.84064814820886,1.0,-0.627,0.4857532720690614,8.03,41.47,13,1,0,9,14,3,2,2,4,5,23,0.9048391536641114
75318,72.93508101860061,5.0,0.9482,0.5263357256778309,14.64,12.31,3,0,2,0,2,2,0,0,3,2,1,0.5841125769376151
223705,-1761.9533333331349,2.0,-0.3612,0.7550000000000001,5.4,4.01,2,0,0,1,2,1,1,0,0,0,1,0.3499374913690146
24793,-2132.1469444446266,5.0,0.886,0.375,3.48,1.54,1,0,0,1,1,0,0,0,1,0,1,0.23414691415390465
232304,233.47050925949588,1.0,-0.7269,0.7638888888888888,6.93,3.61,1,0,0,0,4,1,0,0,0,0,2,0.5005407959443613
73155,312.9568634261377,5.0,0.8176,0.6749999999999999,6.2,2.56,1,0,0,0,1,0,0,0,0,0,1,0.3543342164877719
238005,32.89059027796611,3.0,-0.5119,0.2840136054421768,9.03,11.11,4,0,0,1,4,1,0,2,1,4,1,0.6191383846768514
186014,-3279.2397569445893,5.0,0.9718,0.5995061728395062,10.34,2.79,0,0,0,0,4,0,0,0,0,1,2,0.20493215606761808
13091,168.50400462932885,5.0,0.9584,0.7714285714285715,7.11,3.04,1,0,0,1,3,0,0,1,2,0,2,0.33333212320600153
196090,27.044976851902906,3.0,0.9007,0.535888888888889,8.57,11.63,4,0,0,2,5,1,1,0,1,2,0,0.5859009671104459
155898,-3205.5814236109145,5.0,0.8779,0.3833333333333333,6.97,4.05,0,0,0,0,4,0,0,1,1,0,1,0.25487311149768316
203717,36.89106481475756,5.0,0.9783,0.4801587301587302,6.54,10.58,6,0,1,0,5,4,0,1,1,0,2,0.5884397353874409
241213,1011.0170949073508,5.0,0.8481,0.9166666666666666,5.33,1.92,2,0,0,0,2,0,0,0,0,2,0,0.35176969973451777
14153,247.7508796299808,4.0,0.8957,0.5644444444444444,5.36,7.67,3,0,0,2,5,3,2,0,2,0,4,0.4591423307135472
134720,12.596273147966713,5.0,0.9726,0.6500000000000001,6.62,3.14,0,0,0,0,2,1,0,0,0,0,2,0.36930044045795024
102097,161.42285879608244,1.0,0.9382,0.3648018648018648,7.98,9.43,0,0,1,0,5,0,1,2,1,2,6,0.6197925555726286
224863,272.9004398146644,1.0,0.553,0.5599735449735449,7.39,9.89,6,0,0,1,4,1,1,1,1,2,5,0.5620118681795788
167335,114.11237268522382,5.0,0.9767,0.5395833333333333,6.59,4.03,4,0,0,0,4,0,0,0,3,1,0,0.34265487873007955
191895,762.6976041663438,1.0,-0.296,0.3571428571428571,7.54,4.7,3,1,0,0,2,0,1,0,1,0,1,0.5274648872931076
262022,71.10689814807847,1.0,-0.6776,0.3436409122278688,6.4,48.1,8,3,1,0,11,0,9,1,12,11,3,0.9329348623192559
192822,250.2656597220339,5.0,0.8707,0.4404761904761905,9.47,4.1,2,0,0,0,2,0,1,0,1,1,0,0.37335415170763336
964,228.90516203688455,5.0,0.8439,0.4428571428571428,5.82,2.14,1,0,0,0,2,0,0,0,0,2,0,0.36245764820091514
110496,1127.9414814813065,3.0,0.8874,0.4285714285714285,5.4,1.79,0,0,0,0,1,1,0,0,2,1,2,0.4417552542183659
33703,544.620833333116,5.0,0.9612,0.4318181818181817,5.91,3.75,1,0,0,1,6,0,0,0,1,1,0,0.4215886298619228
133580,1735.4190740743652,3.0,0.8712,0.608974358974359,7.19,5.14,0,0,0,0,6,2,0,2,2,0,6,0.5618161560630707
78613,92.069803240709,5.0,0.9687,0.6162202380952382,11.43,9.05,2,0,0,2,6,1,0,1,2,1,11,0.39808462046372334
240865,107.25674768490715,4.0,0.7579,0.7999999999999999,13.2,0.75,1,0,0,2,1,0,0,0,0,0,0,0.32562814323310524
170254,16.814780092798173,5.0,0.9894,0.6922222222222222,6.83,10.46,7,1,0,3,11,1,1,2,1,2,0,0.507290339402942
28529,152.8759953705594,1.0,-0.4696,0.3748803827751196,8.61,41.53,12,1,1,0,9,0,12,5,9,4,5,0.8914358346861596
136954,314.29353009257466,1.0,0.7024,0.5248809523809523,6.48,9.56,9,0,0,1,1,2,0,3,0,4,8,0.5561130829414874
139562,95.703125,1.0,0.9042,0.4875,6.4,6.27,2,0,0,0,4,0,0,0,2,2,5,0.4831244172429232
93510,160.87253472208977,1.0,0.9644,0.400811231665662,7.57,56.79,7,1,0,0,15,0,12,0,2,10,2,0.9770416988221858
194242,150.5325000002049,5.0,0.9992,0.6535041978223793,9.93,33.86,9,1,1,2,17,3,0,9,6,7,11,0.8915724270845519
53644,247.69520833343267,5.0,0.8271,0.4666666666666666,7.43,2.56,1,0,0,0,2,0,0,1,1,1,0,0.3748160873383939
63433,139.27807870367542,4.0,0.7717,0.515625,7.55,7.4,1,1,0,1,3,1,0,0,0,3,0,0.5087170610201234
220687,19.11908564856276,5.0,0.9818,0.600532212885154,9.41,10.81,4,0,0,0,7,2,0,1,0,1,1,0.5668087885134743
176287,13.120925925672054,2.0,-0.802,0.6184523809523809,5.83,6.92,4,1,0,0,3,0,1,0,2,0,1,0.4701050559401337
46889,59.3044328703545,4.0,0.9801,0.6534285714285715,5.82,10.44,6,1,1,8,4,2,0,1,0,3,2,0.5498974114608268
152152,144.13859953731298,5.0,0.9595,0.6681818181818183,9.41,4.14,5,0,0,0,5,2,0,0,0,0,2,0.38297403106145117
9683,-1707.070821759291,4.0,0.9601,0.5472222222222222,11.47,3.48,0,0,0,0,3,2,0,0,0,0,1,0.3480144997510802
202048,35.50606481498107,5.0,0.8805,0.7466666666666666,6.53,1.75,5,0,0,0,2,0,1,0,0,0,0,0.2869930759272865
206385,-2795.918414351996,1.0,-0.4019,0.4749999999999998,12.02,10.75,5,0,0,2,0,0,4,1,1,3,6,0.3322145988196715
217492,403.2231250000186,1.0,-0.5267,0.7,9.77,7.11,1,1,0,0,0,3,2,0,0,4,1,0.5618518577926814
148291,-2864.160277777817,5.0,0.9581,0.6106227106227107,7.96,10.8,4,1,1,1,6,1,2,0,3,0,0,0.3384344641690172
119737,146.621851851698,5.0,0.9432,0.4061728395061728,6.19,5.6,2,0,0,0,2,0,0,0,0,1,0,0.4354185113762852
239750,93.7042939811945,5.0,0.9454,0.5496774193548388,10.04,17.55,17,1,0,4,13,3,2,1,0,1,11,0.5249703506211998
120622,1507.207048610784,1.0,0.0,0.33125,7.74,3.2,0,0,0,0,1,1,0,0,1,1,1,0.5859979657143962
179165,-2364.9668287038803,4.0,0.9881,0.5331944444444444,6.97,10.8,4,1,0,1,8,3,1,2,0,4,1,0.4644699685148821
147172,957.9741898151116,5.0,0.9628,0.5505050505050505,4.57,4.0,3,0,0,0,4,0,1,0,0,1,3,0.3850770027963316
225388,208.36575231468305,5.0,0.8795,0.3666666666666667,8.97,3.42,1,0,0,0,2,0,0,0,2,0,0,0.3802676087301372
254324,50.80802083341405,5.0,0.9388,0.628,5.86,3.5,0,0,0,0,2,0,0,0,0,1,0,0.3795515258585523
258581,-2300.0735416668467,5.0,0.9792,0.6213419913419914,8.57,6.05,6,1,1,0,5,0,0,1,0,1,2,0.2918008043428468
147172,957.9741898151116,5.0,0.9628,0.5505050505050505,4.57,4.0,3,0,0,0,4,0,1,0,0,1,3,0.3850770027963316
210364,82.73994212970138,2.0,-0.3612,1.0,9.18,2.45,0,0,0,0,2,1,0,1,0,0,0,0.445642310028847
221306,84.25557870371267,4.0,0.8904,0.65,8.85,4.07,4,0,0,0,8,1,0,1,0,0,1,0.4327793841124466
155173,13.380717592779549,5.0,0.9423,0.688888888888889,5.44,3.69,0,1,0,0,3,2,0,0,2,0,0,0.3899530707256165
259755,-3231.9274884257466,5.0,0.9953,0.5869963369963371,7.88,15.95,3,0,1,6,14,2,0,0,1,2,5,0.48474699184036635
175893,-2201.13164351834,2.0,0.4019,0.7458333333333333,9.53,1.94,0,0,0,2,1,1,0,0,0,0,0,0.31616991103436504
197999,137.68311342597008,4.0,0.9583,0.5422663139329806,6.54,13.53,1,0,1,2,6,2,0,1,0,1,4,0.6756659214713652
88612,463.88190972199664,4.0,0.9932,0.6170666666666667,8.14,13.19,2,0,0,0,6,1,0,2,8,0,5,0.5476355493428734
156061,327.78434027777985,5.0,0.802,0.5055555555555555,5.61,3.55,2,0,0,0,3,1,0,0,1,2,0,0.39264487337477405
144886,64.18502314807847,1.0,0.9585,0.5705314009661836,8.13,12.68,5,0,0,0,2,0,4,0,0,3,6,0.5293269867214918
213414,103.70589120406656,2.0,0.9903,0.5974747474747475,7.73,7.14,1,0,1,2,4,1,0,0,1,2,8,0.490704768585873
166424,-1907.749363426119,4.0,0.8519,0.491991341991342,9.46,11.44,3,0,0,3,2,0,1,2,0,1,5,0.4228074507283388
75760,488.6107291667722,1.0,-0.7823,0.456798076923077,8.2,18.39,12,0,0,0,3,0,1,6,2,2,0,0.781585321023339
180246,105.17057870374992,5.0,0.9519,0.5701631701631702,4.53,4.48,0,1,2,0,5,0,0,0,0,1,0,0.4609127102653639
21574,-1954.026712962892,4.0,0.8473,0.4380952380952381,12.67,4.01,2,0,0,1,1,0,0,0,1,1,5,0.2578003997204429
178310,271.9232407407835,4.0,0.9674,0.45625,9.04,3.64,3,0,1,0,4,0,0,0,1,0,2,0.41404115639659
147189,121.94023148156704,1.0,-0.05,0.72,6.34,4.98,2,0,3,0,1,0,0,0,1,0,1,0.5547274957849255
50352,393.2645023148507,4.0,0.9628,0.6311904761904763,7.83,9.15,3,0,0,3,10,1,1,0,3,1,7,0.4480635667489411
232202,643.2623958331533,5.0,0.9843,0.439047619047619,7.52,8.81,3,0,0,0,3,0,0,1,0,2,1,0.5263558421469375
137976,118.39260416664185,1.0,0.7003,0.3791666666666666,8.86,11.47,4,1,0,1,3,7,3,4,4,2,0,0.7126834516832259
251762,328.4267476852983,3.0,0.7927,0.5593750000000001,6.8,5.8,1,0,0,0,5,2,0,0,0,1,2,0.5262401450833882
229123,169.03174768481404,5.0,0.8955,0.7725,8.33,1.18,0,0,0,0,2,1,1,1,0,0,1,0.32955828371456186
67909,171.85048611089587,5.0,0.688,0.5558641975308641,7.83,6.43,0,0,0,1,2,3,2,0,1,3,1,0.4369583081785414
252286,133.8912615738809,2.0,0.8262,0.3842013888888888,12.24,12.35,7,0,1,0,6,0,1,0,4,0,2,0.589210124003217
220096,-2069.526539351791,3.0,0.1206,0.4503840245775729,9.22,16.41,6,1,0,1,7,2,1,4,1,3,15,0.4925689642174856
96650,226.1726388889365,1.0,-0.6597,0.288095238095238,6.12,5.63,0,0,0,0,1,0,2,0,1,2,4,0.4913207113058291
224517,150.20646990742534,5.0,0.985,0.6061111111111112,8.3,8.93,2,0,0,4,1,0,1,0,2,4,1,0.4159307655289296
202907,433.034907407593,3.0,0.9121,0.5650529100529101,7.25,9.62,2,0,0,0,7,3,0,1,1,0,10,0.5611212353477171
144018,590.0736574074253,5.0,0.9861,0.72,6.1,4.01,3,0,1,1,4,2,0,0,2,1,2,0.40295894732629045
248003,-1601.0697916666977,1.0,0.2748,0.2773237179487179,6.86,5.26,2,2,0,0,1,0,1,1,2,2,3,0.3862228550107734
204894,49.45450231479481,3.0,0.9678,0.5186646686646686,4.0,4.27,0,0,0,0,5,1,0,0,1,1,0,0.47854536417078014
140745,100.61853009276092,1.0,0.7003,0.74375,4.2,2.75,1,0,0,2,1,0,0,0,0,0,0,0.46225575339747454
232045,-2439.594953703694,1.0,0.4215,0.4708333333333333,7.65,3.98,0,2,0,0,2,1,1,0,1,0,1,0.36022991092533385
77873,-3290.1670023147017,1.0,0.4215,0.3785714285714285,9.13,6.17,3,0,0,1,0,0,0,0,1,0,4,0.31963919901802473
112731,54.19726851815358,4.0,0.9531,0.4935185185185186,9.29,5.33,4,0,0,3,5,0,1,1,1,1,2,0.3983882898704407
125800,49.98728009266779,2.0,0.8267,0.4081632653061225,8.02,4.52,0,0,1,1,5,5,0,0,0,1,4,0.5798813424804802
229366,2277.2731481483206,3.0,0.9538,0.4785714285714286,7.43,2.12,1,0,1,0,3,2,0,0,0,0,0,0.5950162904529844
98818,176.1116550923325,5.0,0.9392,0.590625,8.53,3.7,0,0,0,1,2,2,0,0,0,2,0,0.41732229452320835
209015,318.14872685214505,5.0,0.9854,0.5,8.22,6.24,2,0,0,0,8,0,1,0,0,1,0,0.4540538777807447
137459,1207.7460185186935,4.0,0.9001,0.5333333333333333,7.51,3.38,0,0,0,2,4,1,0,0,0,0,0,0.5032133812230853
224448,418.55412037018687,3.0,0.9122,0.7333333333333333,5.91,2.2,0,0,0,1,5,1,0,0,0,0,2,0.4288515508256634
157651,69.06749999988824,4.0,0.7581,0.5166666666666667,8.93,3.85,2,0,1,0,3,0,0,0,0,0,4,0.4006847467905798
48836,763.9030671296641,2.0,-0.9022,0.6749999999999999,11.07,6.16,3,0,0,0,1,0,0,0,3,1,4,0.4592238995408822
262983,1770.0474999998696,1.0,0.8205,0.4365384615384615,9.53,26.66,10,0,0,1,6,4,6,2,5,2,13,0.8100077680087817
88056,209.02335648145527,5.0,0.9168,0.65,10.32,2.91,2,0,0,0,1,0,0,1,1,0,0,0.3575310563003838
91928,572.9690162041225,4.0,0.9978,0.5575102084676552,6.19,20.54,2,0,0,3,22,7,0,0,4,3,18,0.7424486952766118
183349,138.49006944475695,1.0,-0.1779,0.5426573426573428,8.43,11.99,3,0,0,0,2,0,0,0,4,2,6,0.5647195477767551
175017,49.1065625003539,4.0,0.9821,0.5037414965986394,12.58,19.07,10,0,1,2,8,0,1,1,4,9,15,0.4857371264322258
150603,428.2165046297014,1.0,-0.8056,0.4714285714285713,13.78,5.71,3,0,0,0,1,2,0,0,2,0,2,0.5462258852582507
82162,143.00530092604458,1.0,0.8307,0.5314285714285715,8.47,14.25,4,0,0,1,3,0,2,0,3,4,10,0.5362115351982416
118610,562.657361111138,5.0,0.836,0.9333333333333332,5.33,2.1,1,0,0,1,2,1,0,1,1,1,1,0.3485978866850648
244121,50.05765046272427,5.0,0.9942,0.5701878478664193,8.07,12.9,9,0,2,8,11,1,0,1,1,3,8,0.5205843685399776
118820,-1010.5900347223504,5.0,0.9967,0.6092439170025375,13.81,20.01,4,0,0,1,6,1,3,0,1,1,2,0.6083621231488295
140457,291.18907407391816,2.0,0.9913,0.4516416658277123,8.13,24.47,10,0,0,3,13,0,3,2,3,3,13,0.7149684534276335
208113,-2607.6415393520147,1.0,-0.9612,0.7455555555555555,9.93,4.98,1,0,0,2,0,1,0,0,3,0,0,0.34379549080431565
254631,-2504.003784722183,1.0,-0.3582,0.575,14.48,4.95,2,0,0,0,1,0,0,0,2,1,0,0.3475425691687088
77560,-3122.595011574216,1.0,0.0798,0.5661931818181819,10.06,6.64,0,0,0,0,2,0,0,4,2,2,0,0.41483678396877344
61037,358.1225115740672,2.0,0.2263,0.5,4.8,3.07,0,0,0,0,0,2,1,0,0,0,2,0.47966424431214355
5323,137.8489467590116,4.0,0.872,0.4499999999999999,9.71,1.31,0,0,1,0,1,0,0,0,0,0,0,0.39914937206161955
84420,170.88928240723908,5.0,0.8834,0.3399999999999999,4.45,2.28,2,0,0,1,3,0,0,0,0,0,0,0.37727268039049827
216316,1835.6757754627613,4.0,0.9601,0.75,9.34,3.69,1,0,0,0,3,0,1,0,0,0,2,0.46127236906806013
33180,238.415578703396,2.0,0.3612,0.0,4.6,1.31,0,0,0,0,3,1,0,0,0,0,0,0.5089327755761582
6522,58.023368055932224,4.0,0.9816,0.4570204508135542,7.32,15.78,8,0,0,1,14,2,0,1,0,1,3,0.6907372978288506
137192,323.2659143516794,5.0,0.986,0.5618881118881119,4.7,5.36,3,0,1,1,7,1,0,0,0,0,1,0.4691731292752874
126986,-3276.6914120372385,4.0,0.9337,0.7333333333333333,9.89,7.07,0,0,0,0,0,0,1,0,0,2,3,0.25365673605305605
21277,-2294.760208333377,5.0,0.902,0.5122222222222222,6.56,2.03,0,0,0,0,3,2,0,0,0,0,0,0.2797607815789674
238062,-2413.801400463097,2.0,0.9863,0.4589629629629629,9.28,28.75,9,1,1,3,11,2,1,1,6,8,6,0.7347174970067384
11163,217.83614583313465,5.0,0.9584,0.5678571428571428,7.16,3.36,0,0,0,3,6,0,0,0,2,0,1,0.37227470181618516
157987,10.545219907537104,5.0,0.9524,0.6166666666666667,4.66,2.06,2,0,1,0,1,0,0,0,0,0,0,0.35502312838620004
245522,1025.4979398148134,3.0,-0.4453,0.4420168067226891,7.7,8.51,3,1,0,1,1,2,0,1,2,2,4,0.5694703777749325
258255,493.98429398145527,5.0,-0.5942,0.7291666666666666,4.16,6.39,2,0,0,1,2,0,0,0,3,0,1,0.40758502915033434
211353,234.258124999702,5.0,0.967,0.7583333333333333,5.06,5.14,1,0,0,1,6,2,0,0,2,0,2,0.413512267707443
450,307.9005439812317,5.0,0.9246,0.6,4.4,2.1,2,0,0,1,3,0,0,0,2,0,1,0.32659241236340497
201688,480.22326388861984,5.0,0.9403,0.4599999999999999,7.74,3.47,0,0,0,1,4,0,1,0,0,0,3,0.38115708546697646
94610,317.16699074115604,1.0,-0.923,0.435,10.15,12.18,3,2,0,0,1,0,1,0,2,9,10,0.5106308426543297
69230,478.23505787039176,5.0,0.9246,0.58987012987013,6.52,3.69,2,0,0,1,5,0,0,0,0,1,2,0.38472972540366557
111584,1586.772789351642,5.0,0.9559,0.655,5.71,4.0,0,0,1,0,4,0,0,0,1,1,0,0.4886540695679381
129041,-2506.7596296295524,5.0,0.8934,0.5,7.0,4.03,1,1,1,0,2,1,0,0,1,1,0,0.28639834917489443
99843,1099.8448495371267,5.0,0.7351,0.4675595238095238,7.25,2.6,0,0,0,0,2,0,1,0,0,0,1,0.4083126718782911
